accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, packetNum
-23297, 23552, -2304, -22784, -9986, 18174, -15343, 3328, 29969, 6109
-21505, 22016, -4096, -21504, -9218, 18430, -15855, 3328, 29201, 6621
-21505, 22016, -4096, -21504, -8194, 18430, -16111, 3328, 28433, 6877
-19713, 19456, -3584, -20480, -8450, 18686, -16623, 2816, 27921, 7389
-19713, 19456, -3584, -19200, -8450, 18686, -17135, 2816, 27921, 7645
-15873, 17920, -3584, -19200, -6914, 18430, -17647, 2560, 28177, 7901
-15873, 17920, -3584, -17920, -6914, 18430, -18415, 2816, 28689, 8157
-15873, 17920, -3584, -17920, -6146, 18174, -18671, 3072, 28689, 8413
-11777, 15616, -6144, -17664, -6146, 18174, -18927, 3328, 28433, 8669
-11777, 15616, -6144, -17664, -5634, 17918, -19439, 3328, 29969, 8925
-11777, 15616, -6144, -16640, -5634, 17918, -19439, 3328, 30225, 9181
-8961, 13824, -7936, -16640, -4354, 18174, -19439, 3328, 30737, 9437
-8961, 13824, -7936, -15104, -4354, 18174, -19695, 2816, 30481, 9693
-6913, 11776, -8448, -14592, -3586, 17918, -19439, 2560, 31761, 10205
-6913, 11776, -8448, -14592, -2306, 17662, -19439, 2304, 32273, 10461
-6913, 11776, -8448, -13568, -2306, 17662, -19439, 2304, -32495, 10717
-5633, 7936, -11776, -13568, -1538, 17406, -18927, 2048, -31983, 10973
-5633, 7936, -11776, -12800, -1538, 17406, -18671, 2304, -31471, 11229
-5633, 7936, -11776, -12800, -1538, 17150, -18415, 2304, -30959, 11485
-5377, 5120, -13312, -12288, -1538, 17150, -17903, 2304, -30191, 11741
-5377, 5120, -13312, -12288, 511, 16894, -17391, 2304, -29679, 11997
-5377, 5120, -13312, -11008, 511, 16894, -16623, 2304, -28911, 12253
-5633, 3584, -14592, -11008, 255, 17406, -16111, 2304, -28399, 12509
-5633, 3584, -14592, -10752, 1279, 16894, -14575, 2304, -27631, 13021
-4865, 2560, -16128, -9984, 1279, 16894, -13807, 2304, -27119, 13277
-4865, 2560, -16128, -9728, 1791, 17150, 256, 2304, -26607, 13789
-6145, 3072, -16128, -9728, 1791, 17662, 1024, 2048, -26351, 14045
-6145, 3072, -16128, -9216, 1791, 17662, 1280, 2048, -26351, 14301
-6145, 3072, -16128, -9216, 3071, 17150, 1792, 1792, -26351, 14557
-8449, 2816, -14336, -8448, 2303, 17662, 2560, 1792, -25839, 15069
-8449, 2816, -14336, -7936, 2303, 17662, 3072, 1792, -25839, 15325
-10753, 3072, -14336, -7936, 2815, 17662, 3584, 1536, -25839, 15581
-10753, 3072, -14336, -7424, 3327, 17918, 4352, 768, -26095, 16093
-12545, 4352, -11776, -7168, 3327, 17918, 4864, 512, -26095, 16349
-12545, 4352, -11776, -6912, 2559, 17918, 4864, -13039, -26095, 16861
-12545, 4864, -7168, -6912, 3583, 17918, 4608, -13295, -26351, 17117
-12545, 4864, -7168, -5888, 3327, 18174, 3328, -14319, -26351, 17629
-11777, 6144, -1536, -6144, 3327, 18174, 2560, -14831, -26351, 17885
-11777, 6144, -1536, -6144, 3839, 18174, 1792, -15087, -26095, 18141
-11777, 6144, -1536, -5632, 3839, 18174, 1024, -15087, -26095, 18397
-11009, 7168, 1, -5632, 4351, 17918, 256, -15599, -25583, 18653
-11009, 7168, 1, -5120, 4351, 17918, -13039, -16111, -25327, 18909
-11009, 7168, 1, -5120, 4351, 17918, -13807, -16623, -24815, 19165
-10497, 7168, -256, -5120, 4351, 17918, -14319, -16879, -24559, 19421
-10497, 7168, -256, -5120, 5631, 17918, -14831, -17391, -24047, 19677
-10497, 7168, -256, -4864, 5631, 17918, -15087, -17903, -23279, 19933
-9985, 7936, -256, -4864, 5119, 17918, -15343, -17903, -22767, 20189
-9985, 7936, -256, -4864, 5119, 17918, -15087, -18159, -21999, 20445
-9985, 7936, -256, -4864, 5887, 17406, -15087, -18159, -21231, 20701
-8705, 8192, -2816, -5120, 5887, 17406, -14575, -18159, -20463, 20957
-8705, 8192, -2816, -5120, 6655, 17406, -14319, -17903, -19695, 21213
-8705, 8192, -2816, -4608, 6655, 17406, -13807, -17647, -19183, 21469
-7169, 8192, -4864, -4608, 5887, 16894, -13295, -17391, -18415, 21725
-7169, 8192, -4864, -5376, 5887, 16894, 0, -17135, -17903, 21981
-7169, 8192, -4864, -5376, 6911, 17150, 256, -17135, -17135, 22237
-6657, 8704, -5376, -4864, 6399, 16894, 1536, -16879, -16111, 22749
-7681, 7936, -4608, -5376, 6399, 16894, 2048, -16879, -15855, 23005
-7681, 7936, -4608, -5376, 6399, 16894, 2816, -17135, -15599, 23261
-7681, 7936, -4608, -5120, 6399, 16894, 3328, -17135, -15343, 23517
-7937, 7936, -2304, -5120, 7167, 16894, 3840, -17135, -15087, 23773
-7937, 7936, -2304, -5376, 7167, 16894, 4096, -17135, -14831, 24029
-7937, 7936, -2304, -5376, 6143, 16894, 4608, -17135, -14575, 24285
-9217, 6912, -768, -5888, 6399, 16638, 4608, -16623, -14319, 24797
-9217, 6912, -768, -5888, 6399, 16638, 4608, -16367, -14319, 25053
-10241, 5376, 1281, -5888, 6399, 17406, 4864, -16367, -14319, 25309
-10241, 5376, 1281, -6144, 6399, 17406, 4608, -16111, -14063, 25565
-10241, 5376, 1281, -6144, 5631, 17150, 4608, -16111, -14063, 25821
-9729, 5120, 2561, -6144, 6143, 16894, 3840, -15855, -13807, 26333
-9729, 5120, 2561, -5888, 6143, 16894, 3584, -15855, -13551, 26589
-7937, 5632, 769, -5888, 5119, 17406, 3072, -16111, -13551, 26845
-7937, 5632, 769, -6400, 5631, 16894, 2048, -16879, -13039, 27357
-7169, 5888, 1537, -6400, 5631, 16894, 1536, -17391, -12783, 27613
-7169, 5888, 1537, -6400, 5375, 16894, 1024, -18159, 256, 27869
-5377, 6912, 513, -6656, 4863, 16894, -12783, -19695, 1280, 28381
-5377, 6912, 513, -7168, 4863, 16894, -13295, -20975, 1536, 28637
-5377, 6912, 513, -7168, 5631, 16382, -14063, -22255, 2304, 28893
-6913, 6656, -2048, -7680, 5631, 16382, -14575, -23279, 2816, 29149
-6913, 6656, -2048, -7680, 5119, 16126, -15343, -24559, 3328, 29405
-6913, 6656, -2048, -8192, 5119, 16126, -15855, -25583, 3584, 29661
-7937, 6400, -5120, -8192, 4863, 15870, -16111, -26607, 3840, 29917
-7937, 6400, -5120, -8960, 4863, 15870, -16367, -27119, 4096, 30173
-7937, 6400, -5120, -8960, 5631, 15358, -16623, -27887, 4096, 30429
-8961, 7168, -9472, -9728, 5631, 15358, -16879, -27887, 4096, 30685
-8961, 7168, -9472, -9728, 5119, 14846, -16879, -27375, 3840, 30941
-8961, 7168, -9472, -11008, 5119, 14846, -16879, -26863, 3584, 31197
-9217, 7168, -13568, -11008, 5887, 14334, -16367, -26351, 3328, 31453
-9217, 7168, -13568, -11520, 5887, 14334, -16111, -25839, 2816, 31709
-9985, 7168, -15872, -12544, 5375, 14334, -15343, -24559, 2304, 32221
-9985, 7168, -15872, -12544, 5887, 13822, -14575, -24047, 1792, 32477
-9985, 7168, -15872, -13056, 5887, 13822, -14063, -24047, 1536, 32733
-10241, 5632, -16640, -13056, 6143, 13566, -13295, -23279, 1024, -32547
-10241, 5632, -16640, -13824, 6143, 13566, -12783, -23023, 768, -32291
-9985, 3328, -14848, -14336, 5119, 13310, 1280, -22255, 512, -31779
-9985, 3328, -14848, -15104, 5887, 13054, 2560, -21487, 256, -31267
-9729, 3072, -12544, -15104, 5631, 13054, 2816, -21231, 256, -31011
-9729, 3072, -12544, -15616, 5631, 13054, 3072, -20975, 256, -30755
-9729, 3072, -12544, -15616, 5375, 12798, 3328, -20719, 256, -30499
-9473, 3840, -10496, -16128, 5375, 12798, 3584, -20463, 512, -30243
-9217, 4608, -7936, -17152, 4607, 12542, 2816, -19695, 1280, -29219
-9473, 5632, -7168, -17664, 5375, 12542, 2304, -19951, 1536, -28707
-9473, 5632, -7168, -17664, 4607, 12798, 2304, -19695, 1792, -28451
-9473, 5632, -7168, -17920, 4607, 12798, 1792, -19695, 1792, -28195
-10497, 5632, -8192, -17920, 4607, 12542, 1792, -19951, 2048, -27939
-10497, 5632, -8192, -18432, 4607, 12542, 1792, -19951, 2304, -27683
-10497, 5632, -8192, -18432, 5119, 12542, 1536, -20207, 2304, -27427
-11265, 6400, -9216, -19200, 5119, 12542, 1280, -20207, 2560, -27171
-11265, 6400, -9216, -19200, 3839, 12798, 1536, -20719, 2816, -26915
-11265, 6400, -9216, -19456, 3839, 12798, 1536, -21231, 3072, -26659
-12801, 7680, -9216, -19456, 4351, 12030, 1792, -21999, 3072, -26403
-12801, 7680, -9216, -19712, 4351, 12030, 2048, -22511, 3328, -26147
-12801, 7680, -9216, -19712, 4095, 12286, 2304, -23279, 3328, -25891
-14337, 7424, -7680, -20736, 3327, 12030, 2816, -24559, 3840, -25379
-15361, 7936, -4096, -21248, 4095, 12030, 3328, -25071, 3840, -24867
-15361, 7936, -4096, -22272, 4095, 12030, 3328, -25327, 3840, -24611
-15361, 7936, -4096, -22272, 3071, 12030, 3584, -25071, 3584, -24355
-16385, 8960, -1792, -23040, 3071, 12030, 3584, -25071, 3328, -24099
-16385, 8960, -1792, -23040, 3327, 11518, 3584, -24303, 2816, -23843
-16385, 8960, -1792, -23552, 3327, 11518, 3584, -23791, 2304, -23587
-17153, 9472, 769, -23552, 3071, 11518, 3328, -22767, 1792, -23331
-17153, 9472, 769, -24320, 3071, 11518, 3072, -22255, 1280, -23075
-17153, 9472, 769, -24320, 2303, 11518, 2560, -21487, 768, -22819
-17665, 9728, 3585, -24832, 2303, 11518, 2304, -20975, 256, -22563
